submission_id,date_submitted,mentee_id,mentee_name,county,facility,facility_code,skill_evaluation,average_score
skill-001,2025-05-01 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 01,0.85
skill-002,2025-05-02 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 02,0.86
skill-003,2025-05-03 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 03,0.87
skill-004,2025-05-04 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 04,0.88
skill-005,2025-05-05 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 05,0.89
skill-006,2025-05-06 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 06,0.90
skill-007,2025-05-07 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 07,0.91
skill-008,2025-05-08 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 08,0.92
skill-009,2025-05-09 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 09,0.93
skill-010,2025-05-10 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 10,0.94
skill-011,2025-05-11 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 11,0.95
skill-012,2025-05-12 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 12,0.85
skill-013,2025-05-13 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 13,0.86
skill-014,2025-05-14 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 14,0.87
skill-015,2025-05-15 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 15,0.88
skill-016,2025-05-16 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 16,0.89
skill-017,2025-05-17 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 17,0.90
skill-018,2025-05-18 09:00:00,m-01,Jane Doe,Muranga,Kangema HC,1001,Skill 18,0.91
skill-019,2026-05-10 09:00:00,m-02,John Roe,Makueni,Makindu SCH,2002,Skill 01,0.70
skill-020,2026-05-20 09:00:00,m-02,John Roe,Makueni,Makindu SCH,2002,Skill 01,0.90
skill-021,2026-05-21 09:00:00,m-02,John Roe,Makueni,Makindu SCH,2002,Skill 02,0.75
skill-022,2026-06-05 09:00:00,m-04,Assessment Only,Kakamega,Kakamega CGH,4001,Skill 01,0.88
